DateTime,P_Neg,P_Neu,P_Pos,P_Comp,Price
2017-10-31 05:00:00,0.02873314612053251,0.8933188193216083,0.0751418539929842,0.09839044871813293,6158.76
2017-10-31 06:00:00,0.03329756725823515,0.8668059890093985,0.09926762321007601,0.13343225094313715,6105.9
2017-10-31 07:00:00,0.032959638385098265,0.868896311129558,0.09675713313293689,0.1290652741423355,6094.36
2017-10-31 08:00:00,0.03267882383264163,0.8840611766015782,0.08326117663699038,0.1129100580628523,6125.13
2017-10-31 09:00:00,0.03503428928306962,0.8681866232517262,0.09622034859781255,0.13014856515532885,6165.0
2017-10-31 10:00:00,0.03564345436092871,0.8606891371413525,0.10310807776401303,0.13568651766249065,6170.77
2017-10-31 11:00:00,0.03178829542780651,0.8647567429615342,0.10294910941756409,0.15735806587031326,6233.74
2017-10-31 12:00:00,0.030205882419342592,0.8801615233088528,0.0891513982958366,0.12533736709512505,6201.03
2017-10-31 13:00:00,0.031716245319574524,0.8675417910496462,0.09945349344657155,0.14173261829054296,6332.34
2017-10-31 14:00:00,0.03407692322604481,0.8627873689516863,0.10212227121636216,0.13422697329212344,6363.13
2017-10-31 15:00:00,0.02596243864242189,0.904074533082977,0.06956932166977735,0.09652145489383647,6365.16
2017-10-31 16:00:00,0.03304940319327525,0.8932603954181486,0.07286537699508736,0.0804176200334613,6364.78
2017-10-31 17:00:00,0.03800045540728033,0.8856514908548045,0.07543227898248257,0.07654479852859113,6361.79
2017-10-31 18:00:00,0.04127698670855742,0.8629528863455328,0.09448071487234443,0.11364662193712749,6335.64
2017-10-31 19:00:00,0.04398989892468981,0.8634851467455347,0.09103594815432671,0.10880083227070825,6341.15
2017-10-31 20:00:00,0.033399936386882274,0.8711426298558863,0.0948189327190364,0.13567757338410885,6370.08
2017-10-31 21:00:00,0.04564373960006416,0.855585976355462,0.09876894842404157,0.1153976299820191,6393.26
2017-10-31 22:00:00,0.03538015654249644,0.8480576098092419,0.11585526311687945,0.14855536954692045,6383.94
2017-10-31 23:00:00,0.037893779768255156,0.8501593302535595,0.1115860313396642,0.13835693019716339,6448.36
2017-11-01 00:00:00,0.04102505614826876,0.8586662192406004,0.0971780759626187,0.11363785210621836,6376.49
2017-11-01 01:00:00,0.03960009525772282,0.8610718025233821,0.09552116004933474,0.1134876366040421,6405.67
2017-11-01 02:00:00,0.03694927538542644,0.8714512080170106,0.09063768110593448,0.1027010622429819,6419.6
2017-11-01 03:00:00,0.04397528595045993,0.8605382156453907,0.0936645308522256,0.09908375257511093,6426.88
2017-11-01 04:00:00,0.03507234801484964,0.8690914337271539,0.09584332006676326,0.1164653347496665,6365.63
2017-11-01 05:00:00,0.04368726048133268,0.87325335188387,0.0830704023030326,0.08153644614492568,6399.43
2017-11-01 06:00:00,0.04161614726444423,0.8694173752614301,0.08897497662720363,0.1002898480535623,6400.97
2017-11-01 07:00:00,0.03561727800963871,0.8643981657893501,0.09998600436985838,0.12993387951296267,6392.6
2017-11-01 08:00:00,0.03720683000261477,0.8683857618687301,0.09440740772727707,0.12119591100828586,6446.61
2017-11-01 09:00:00,0.03646170481562305,0.8524448291041128,0.09983600161998678,0.12143833831368536,6541.77
2017-11-01 10:00:00,0.031847391271705765,0.8849552763752396,0.08280266805162098,0.10540404059597547,6584.45
2017-11-01 11:00:00,0.037735754664831034,0.8859470881377076,0.0756859739399098,0.08081173996803215,6568.0
2017-11-01 12:00:00,0.03962608200857606,0.8790868463229281,0.08072884676884885,0.08793607869397012,6509.08
2017-11-01 13:00:00,0.036124963081129544,0.8587571633091001,0.10512023675675054,0.14039580412979405,6484.66
2017-11-01 14:00:00,0.03295121279297131,0.8690109008922665,0.09776342311621719,0.1366560625655929,6547.65
2017-11-01 15:00:00,0.03644272278814964,0.8677398989674923,0.09581986733923054,0.11967124946997952,6556.74
2017-11-01 16:00:00,0.03680448068175604,0.8669533820295529,0.09488685252399945,0.1164171296258464,6587.46
2017-11-01 17:00:00,0.03637295096511595,0.8582961602012745,0.10401143236977721,0.14727678932364555,6604.57
2017-11-01 18:00:00,0.04900421201540847,0.8492902549386321,0.10150105316600602,0.08359724292633247,6585.55
2017-11-01 19:00:00,0.048290407762145826,0.8463007188529419,0.10348177465299765,0.10778887320926292,6615.47
2017-11-01 20:00:00,0.041364926697866886,0.8581108961335908,0.10004161657003333,0.11670781771966277,6568.12
2017-11-01 21:00:00,0.029466745850238552,0.8631280267677511,0.106932303866022,0.14451840820588446,6587.57
2017-11-01 22:00:00,0.03108689801921311,0.8708197458003007,0.09809362389526124,0.13101073450546433,6663.25
2017-11-01 23:00:00,0.03444721740502191,0.8660728625624056,0.09947905908122326,0.1261598676730565,6743.06
2017-11-02 00:00:00,0.0326650331135647,0.8622992208743515,0.10503459172084408,0.14210564942814224,6827.61
2017-11-02 01:00:00,0.042014017465229474,0.8560605738316669,0.10167434264967529,0.10604100062363829,6835.46
2017-11-02 02:00:00,0.03454642861638041,0.8730516664045198,0.09216095224998537,0.10729895197387253,6814.19
2017-11-02 03:00:00,0.03714066854571731,0.876918941180022,0.08566239557454679,0.09235233958663995,6877.79
2017-11-02 04:00:00,0.044487070209661916,0.8657485072959652,0.08720886608959938,0.08770772992688464,6860.46
2017-11-02 05:00:00,0.03522661001277796,0.870398845012104,0.09255194414253115,0.10299061395042323,6862.07
2017-11-02 06:00:00,0.040312385926302825,0.8715261226539678,0.08816185600818793,0.09147332821505476,6971.25
2017-11-02 07:00:00,0.04158635111006812,0.8747339823431125,0.08333217253400049,0.08187907383891346,6939.93
